Código do Município;Município;Estado;Ano de Referência;Código do Prestador;Prestador;Sigla do Prestador;Abrangência;Tipo de Serviço;Natureza Jurídica;AG011 - Volume de água faturado;BL002 - Ativo total;ES007 - Volume de esgotos faturado;FN002 - Receita operacional direta de água;FN003 - Receita operacional direta de esgoto;FN010 - Despesa com pessoal próprio;FN015 - Despesas de Exploração (DEX);FN016 - Despesas com juros e encargos do serviço da dívida;FN019 - Despesas com depreciação, amortização do ativo diferido e provisão para devedores duvidosos;FN026 - Quantidade total de empregados próprios
120040;Rio Branco;AC;2019;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;22.986,44;;4.472,62;64.063.550,82;8.965.444,00;41.865.198,79;80.705.515,47;0;1.872.809,57;890
120040;Rio Branco;AC;2018;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;22.373,46;;4.201,92;64.023.460,15;8.887.783,45;40.563.433,81;75.711.690,52;0;1.866.348,29;904
120040;Rio Branco;AC;2017;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;22.815,62;;4.329,95;52.133.404,82;7.312.063,23;40.251.638,85;62.130.845,46;0;1.509.079,24;920
120040;Rio Branco;AC;2016;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;22.137,10;;4.354,32;52.080.433,95;7.342.749,81;36.332.012,25;60.055.281,64;0;1.281.217,59;915
120040;Rio Branco;AC;2015;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;22.420,48;;4.083,41;45.235.309,05;7.000.045,48;25.119.277,89;53.415.574,22;0;1.185.573,91;421
120040;Rio Branco;AC;2014;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;22.899,52;;3.880,14;42.746.494,36;6.594.194,31;18.720.725,07;45.728.290,91;0;1.199.830,61;242
120040;Rio Branco;AC;2013;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;21.073,78;;3.728,55;34.743.399,92;6.405.157,80;20.310.767,74;51.921.268,83;0;457.929,74;273
120040;Rio Branco;AC;2012;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;10.736,19;;3.644,85;33.402.584,37;8.016.105,01;25.750.553,18;68.599.338,65;0;291.204,34;434
120040;Rio Branco;AC;2004;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;4.307,50;;0;4.051.660,78;0;10.759.527,48;13.317.392,00;0;0;382
120040;Rio Branco;AC;2003;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;4.093,00;;;4.061.209,59;0;8.365.180,37;10.635.591,00;0;0;372
270430;Maceió;AL;2019;27043000;Companhia de Saneamento de Alagoas;CASAL;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;68.543,01;458.997,22;18.464,69;426.325.213,39;100.312.193,04;182.048.135,78;420.017.358,61;38.481.591,85;52.422.092,91;909
270430;Maceió;AL;2018;27043000;Companhia de Saneamento de Alagoas;CASAL;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;68.589,35;430.573,41;18.172,56;398.090.777,05;90.215.270,43;140.660.949,04;376.612.484,11;165.842,80;4.430.148,91;1.429
270430;Maceió;AL;2017;27043000;Companhia de Saneamento de Alagoas;CASAL;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;64.907,87;388.847,54;11.686,84;337.614.896,03;77.106.555,82;133.359.362,75;343.495.577,39;63.913.909,82;7.795.601,25;1.359
270430;Maceió;AL;2016;27043000;Companhia de Saneamento de Alagoas;CASAL;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;66.305,68;343.160,43;14.182,01;348.711.988,08;79.683.333,20;166.848.485,10;354.195.103,59;109.147.731,78;7.640.106,26;1.335
270430;Maceió;AL;2015;27043000;Companhia de Saneamento de Alagoas;CASAL;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;66.815,52;311.752,09;13.461,92;247.590.506,11;55.958.451,74;146.136.358,74;312.201.890,62;90.669.741,58;7.527.015,07;1.247
270430;Maceió;AL;2014;27043000;Companhia de Saneamento de Alagoas;CASAL;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;67.989,71;279.733,16;13.096,06;201.351.928,15;47.364.474,84;114.704.098,23;250.507.412,58;81.628.141,51;33.271.308,16;1.193
270430;Maceió;AL;2013;27043000;Companhia de Saneamento de Alagoas;CASAL;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;63.924,07;262.161,02;12.419,56;231.356.249,37;51.700.500,73;87.211.638,37;200.774.061,11;59.035.572,33;39.075.690,61;1.211
270430;Maceió;AL;2012;27043000;Companhia de Saneamento de Alagoas;CASAL;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;81.476,62;249.759,60;13.154,90;167.290.593,78;32.258.362,57;81.352.047,29;175.433.196,03;55.725.630,75;25.845.414,80;1.287
